1000,0.607
999,0.926
998,0.334
997,0.879
996,0.858
995,0.529
994,0.572
993,0.091
992,0.825
991,0.811
990,1.4
989,1.841
988,1.229
987,-0.197
986,-1.245
985,-1.461
984,0.455
983,0.02
982,0.769
981,0.089
980,0.224
979,0.39
978,-0.154
977,0.063
976,0.456
975,1.305
974,0.715
973,1.666
972,1.179
971,1.226
970,0.839
969,0.638
968,0.795
967,1.526
966,1.379
965,0.859
964,0.85
963,1.72
962,2.191
961,0.935
960,1.211
959,1.884
958,3.013
957,1.054
956,1.06
955,1.605
954,1.342
953,0.679
952,1.322
951,1.923
950,1.522
949,0.885
948,1.783
947,2.1
946,0.85
945,2.165
944,0.25
943,-0.428
942,2.652
941,0.882
940,-0.152
939,0.641
938,0.037
937,-0.994
936,0.801
935,-1.038
934,-1.151
933,-1.51
932,-0.57
931,-0.968
930,0.865
929,-0.046
928,-0.556
927,-0.525
926,-0.139
925,0.089
924,-0.018
923,0.613
922,0.71
921,-1.294
920,-0.225
919,0.826
918,0.734
917,1.122
916,-0.63
915,1.259
914,1.367
913,1.691
912,0.269
911,-0.211
910,-1.104
909,-1.723
908,0.156
907,1.573
906,-1.182
905,-0.626
904,-1.159
903,-0.646
902,-1.617
901,-0.849
900,-0.408
899,0.666
898,-1.096
897,-0.307
896,-1.126
895,-1.829
894,-2.463
893,-2.322
892,-1.665
891,-0.38
890,-2.014
889,-1.764
888,3.735
887,-0.637
886,-0.622
885,1.12
884,0.06
883,-1.247
882,-1.818
881,1.159
880,-0.383
879,-0.927
878,0.557
877,1.006
876,0.933
875,1.526
874,0.759
873,-0.217
872,-0.455
871,-0.663
870,-0.187
869,-1.874
868,-1.445
867,-1.012
866,2.245
865,-0.341
864,-1.165
863,-0.95
862,0.246
861,2.136
860,-0.693
859,-1.522
858,-1.695
857,-2.104
856,-2.123
855,-0.62
854,-0.514
853,-1.645
852,-0.261
851,-0.977
850,-7.511
849,-6.935
848,3.02
847,-1.847
846,-2.774
845,-2.541
844,0.407
843,-3.839
842,-0.182
841,0.384
840,-2.463
839,-2.187
838,-2.564
837,0.197
836,-0.431
835,-1.089
834,1.382
833,1.553
832,0.08
831,1.137
830,-0.968
829,-2.908
828,-0.812
827,0.353
826,-1.56
825,0.381
824,1.197
823,-2.431
822,-1.928
821,-5.085
820,-2.441
819,-0.801
818,-1.673
817,-0.977
816,-0.847
815,-0.754
814,0.051
813,-1.967
812,-0.954
811,-1.539
810,-1.875
809,-3.752
808,-3.379
807,-0.86
806,-2.487
805,-1.034
804,-0.612
803,0.303
802,0.85
801,-1.499
800,-0.848
799,-1.289
798,1.582
797,-0.309
796,0.742
795,-1.011
794,-1.328
793,1.358
792,2.159
791,-1.962
790,-2.236
789,-0.827
788,-0.015
787,-0.577
786,-1.164
785,-1.474
784,-1.345
783,-0.859
782,-1.072
781,-1.306
780,-0.445
779,-0.197
778,-2.122
777,0.826
776,-0.01
775,-0.412
774,0.812
773,0.084
772,-0.096
771,1.701
770,4.152
769,0.757
768,-0.508
767,0.482
766,-0.497
765,1.717
764,0.045
763,-0.292
762,-1.506
761,-2.109
760,1.398
759,-0.351
758,1.517
757,0.188
756,-0.289
755,-1.146
754,-0.584
753,-0.687
752,0.721
751,-1.398
750,-1.644
749,-1.815
748,-0.098
747,-3.648
746,-1.991
745,-2.148
744,-2.299
743,-2.845
742,-2.494
741,-2.053
740,-1.985
739,-2.393
738,0.006
737,-0.132
736,1.089
735,2.037
734,3.671
733,-0.362
732,0.87
731,2.337
730,-0.341
729,-2.098
728,-1.992
727,1.029
726,-2.206
725,-0.243
724,-0.192
723,-1.14
722,-1.146
721,-1.041
720,2.221
719,-1.487
718,-1.389
717,-0.913
716,-1.466
715,-2.712
714,-0.42
713,-1.655
712,-0.106
